t(s)	deltaD	t rescaled
2.52	-11.3	-7.933
2.536666667	-10.8	-7.916333333
2.553333333	-10.94444444	-7.899666667
2.57	-11.3	-7.883
2.586666667	-11.37777778	-7.866333333
2.603333333	-11.15555556	-7.849666667
2.62	-11.02222222	-7.833
2.636666667	-11.23333333	-7.816333333
2.653333333	-11.51111111	-7.799666667
2.67	-11.8	-7.783
2.686666667	-11.3	-7.766333333
2.703333333	-11.15555556	-7.749666667
2.72	-10.87777778	-7.733
2.736666667	-11.15555556	-7.716333333
2.753333333	-11.44444444	-7.699666667
2.77	-11.02222222	-7.683
2.786666667	-11.37777778	-7.666333333
2.803333333	-11.3	-7.649666667
2.82	-11.51111111	-7.633
2.836666667	-11.37777778	-7.616333333
2.853333333	-11.44444444	-7.599666667
2.87	-11.73333333	-7.583
2.886666667	-11.51111111	-7.566333333
2.903333333	-11.3	-7.549666667
2.92	-11.44444444	-7.533
2.936666667	-11.37777778	-7.516333333
2.953333333	-11.51111111	-7.499666667
2.97	-11.44444444	-7.483
2.986666667	-12.22222222	-7.466333333
3.003333333	-11.58888889	-7.449666667
3.02	-12.36666667	-7.433
3.036666667	-11.86666667	-7.416333333
3.053333333	-11.65555556	-7.399666667
3.07	-11.8	-7.383
3.086666667	-12.22222222	-7.366333333
3.103333333	-11.73333333	-7.349666667
3.12	-11.58888889	-7.333
3.136666667	-12.22222222	-7.316333333
3.153333333	-12.08888889	-7.299666667
3.17	-11.58888889	-7.283
3.186666667	-11.94444444	-7.266333333
3.203333333	-11.86666667	-7.249666667
3.22	-12.44444444	-7.233
3.236666667	-11.51111111	-7.216333333
3.253333333	-12.01111111	-7.199666667
3.27	-11.58888889	-7.183
3.286666667	-11.8	-7.166333333
3.303333333	-11.8	-7.149666667
3.32	-11.65555556	-7.133
3.336666667	-11.73333333	-7.116333333
3.353333333	-11.8	-7.099666667
3.37	-11.8	-7.083
3.386666667	-12.08888889	-7.066333333
3.403333333	-11.86666667	-7.049666667
3.42	-12.36666667	-7.033
3.436666667	-11.86666667	-7.016333333
3.453333333	-12.15555556	-6.999666667
3.47	-12.08888889	-6.983
3.486666667	-11.94444444	-6.966333333
3.503333333	-11.8	-6.949666667
3.52	-12.36666667	-6.933
3.536666667	-11.86666667	-6.916333333
3.553333333	-12.44444444	-6.899666667
3.57	-11.86666667	-6.883
3.586666667	-12.22222222	-6.866333333
3.603333333	-12.36666667	-6.849666667
3.62	-12.22222222	-6.833
3.636666667	-12.44444444	-6.816333333
3.653333333	-12.36666667	-6.799666667
3.67	-12.44444444	-6.783
3.686666667	-12.08888889	-6.766333333
3.703333333	-12.44444444	-6.749666667
3.72	-12.57777778	-6.733
3.736666667	-12.65555556	-6.716333333
3.753333333	-12.36666667	-6.699666667
3.77	-12.65555556	-6.683
3.786666667	-12.57777778	-6.666333333
3.803333333	-12.8	-6.649666667
3.82	-12.57777778	-6.633
3.836666667	-12.65555556	-6.616333333
3.853333333	-12.44444444	-6.599666667
3.87	-12.3	-6.583
3.886666667	-13.07777778	-6.566333333
3.903333333	-12.65555556	-6.549666667
3.92	-12.65555556	-6.533
3.936666667	-12.65555556	-6.516333333
3.953333333	-12.57777778	-6.499666667
3.97	-12.57777778	-6.483
3.986666667	-12.57777778	-6.466333333
4.003333333	-12.65555556	-6.449666667
4.02	-12.65555556	-6.433
4.036666667	-12.93333333	-6.416333333
4.053333333	-12.8	-6.399666667
4.07	-12.72222222	-6.383
4.086666667	-12.86666667	-6.366333333
4.103333333	-13.15555556	-6.349666667
4.12	-13.22222222	-6.333
4.136666667	-13.01111111	-6.316333333
4.153333333	-13.22222222	-6.299666667
4.17	-13.01111111	-6.283
4.186666667	-13.01111111	-6.266333333
4.203333333	-12.93333333	-6.249666667
4.22	-12.86666667	-6.233
4.236666667	-13.28888889	-6.216333333
4.253333333	-13.15555556	-6.199666667
4.27	-13.01111111	-6.183
4.286666667	-12.72222222	-6.166333333
4.303333333	-13.15555556	-6.149666667
4.32	-13.07777778	-6.133
4.336666667	-13.57777778	-6.116333333
4.353333333	-13.22222222	-6.099666667
4.37	-13.01111111	-6.083
4.386666667	-13.28888889	-6.066333333
4.403333333	-13.22222222	-6.049666667
4.42	-13.51111111	-6.033
4.436666667	-13.72222222	-6.016333333
4.453333333	-13.01111111	-5.999666667
4.47	-13.86666667	-5.983
4.486666667	-13.72222222	-5.966333333
4.503333333	-13.07777778	-5.949666667
4.52	-13.43333333	-5.933
4.536666667	-13.36666667	-5.916333333
4.553333333	-13.51111111	-5.899666667
4.57	-13.28888889	-5.883
4.586666667	-13.72222222	-5.866333333
4.603333333	-13.36666667	-5.849666667
4.62	-13.93333333	-5.833
4.636666667	-13.64444444	-5.816333333
4.653333333	-13.64444444	-5.799666667
4.67	-13.86666667	-5.783
4.686666667	-13.43333333	-5.766333333
4.703333333	-13.78888889	-5.749666667
4.72	-13.78888889	-5.733
4.736666667	-13.86666667	-5.716333333
4.753333333	-13.64444444	-5.699666667
4.77	-14.14444444	-5.683
4.786666667	-13.72222222	-5.666333333
4.803333333	-14.07777778	-5.649666667
4.82	-13.93333333	-5.633
4.836666667	-13.78888889	-5.616333333
4.853333333	-13.57777778	-5.599666667
4.87	-14.14444444	-5.583
4.886666667	-13.93333333	-5.566333333
4.903333333	-13.57777778	-5.549666667
4.92	-13.86666667	-5.533
4.936666667	-13.78888889	-5.516333333
4.953333333	-14.07777778	-5.499666667
4.97	-14	-5.483
4.986666667	-14.22222222	-5.466333333
5.003333333	-13.93333333	-5.449666667
5.02	-14.35555556	-5.433
5.036666667	-14.07777778	-5.416333333
5.053333333	-13.93333333	-5.399666667
5.07	-14	-5.383
5.086666667	-13.86666667	-5.366333333
5.103333333	-14.22222222	-5.349666667
5.12	-13.86666667	-5.333
5.136666667	-14.07777778	-5.316333333
5.153333333	-14.43333333	-5.299666667
5.17	-14.43333333	-5.283
5.186666667	-14.35555556	-5.266333333
5.203333333	-14.22222222	-5.249666667
5.22	-14.57777778	-5.233
5.236666667	-14.07777778	-5.216333333
5.253333333	-14.22222222	-5.199666667
5.27	-14.57777778	-5.183
5.286666667	-14.71111111	-5.166333333
5.303333333	-14.28888889	-5.149666667
5.32	-14.57777778	-5.133
5.336666667	-14.14444444	-5.116333333
5.353333333	-14.93333333	-5.099666667
5.37	-14.5	-5.083
5.386666667	-14.57777778	-5.066333333
5.403333333	-14.78888889	-5.049666667
5.42	-14.57777778	-5.033
5.436666667	-14.22222222	-5.016333333
5.453333333	-14.43333333	-4.999666667
5.47	-14.64444444	-4.983
5.486666667	-15	-4.966333333
5.503333333	-14.78888889	-4.949666667
5.52	-14.85555556	-4.933
5.536666667	-14.57777778	-4.916333333
5.553333333	-14.71111111	-4.899666667
5.57	-14.85555556	-4.883
5.586666667	-14.71111111	-4.866333333
5.603333333	-14.93333333	-4.849666667
5.62	-14.78888889	-4.833
5.636666667	-14.78888889	-4.816333333
5.653333333	-15.21111111	-4.799666667
5.67	-14.64444444	-4.783
5.686666667	-15.14444444	-4.766333333
5.703333333	-15	-4.749666667
5.72	-15	-4.733
5.736666667	-14.93333333	-4.716333333
5.753333333	-15.14444444	-4.699666667
5.77	-15.21111111	-4.683
5.786666667	-15.14444444	-4.666333333
5.803333333	-15.14444444	-4.649666667
5.82	-15.14444444	-4.633
5.836666667	-15.42222222	-4.616333333
5.853333333	-15.35555556	-4.599666667
5.87	-15.06666667	-4.583
5.886666667	-15.35555556	-4.566333333
5.903333333	-15.5	-4.549666667
5.92	-15.35555556	-4.533
5.936666667	-15.42222222	-4.516333333
5.953333333	-15.21111111	-4.499666667
5.97	-15.56666667	-4.483
5.986666667	-15.21111111	-4.466333333
6.003333333	-15.21111111	-4.449666667
6.02	-15.64444444	-4.433
6.036666667	-15.42222222	-4.416333333
6.053333333	-15.28888889	-4.399666667
6.07	-15.5	-4.383
6.086666667	-15.5	-4.366333333
6.103333333	-15.42222222	-4.349666667
6.12	-15.85555556	-4.333
6.136666667	-15.71111111	-4.316333333
6.153333333	-15.71111111	-4.299666667
6.17	-15.77777778	-4.283
6.186666667	-15.64444444	-4.266333333
6.203333333	-15.42222222	-4.249666667
6.22	-15.71111111	-4.233
6.236666667	-15.71111111	-4.216333333
6.253333333	-15.64444444	-4.199666667
6.27	-15.85555556	-4.183
6.286666667	-15.71111111	-4.166333333
6.303333333	-16	-4.149666667
6.32	-15.85555556	-4.133
6.336666667	-16.06666667	-4.116333333
6.353333333	-15.77777778	-4.099666667
6.37	-16	-4.083
6.386666667	-15.92222222	-4.066333333
6.403333333	-16.13333333	-4.049666667
6.42	-15.56666667	-4.033
6.436666667	-16.13333333	-4.016333333
6.453333333	-16	-3.999666667
6.47	-16.13333333	-3.983
6.486666667	-16.06666667	-3.966333333
6.503333333	-16.27777778	-3.949666667
6.52	-16.21111111	-3.933
6.536666667	-16.63333333	-3.916333333
6.553333333	-16.13333333	-3.899666667
6.57	-16.56666667	-3.883
6.586666667	-16.27777778	-3.866333333
6.603333333	-16	-3.849666667
6.62	-16.27777778	-3.833
6.636666667	-16.06666667	-3.816333333
6.653333333	-16.27777778	-3.799666667
6.67	-16.35555556	-3.783
6.686666667	-16.48888889	-3.766333333
6.703333333	-16.42222222	-3.749666667
6.72	-16.48888889	-3.733
6.736666667	-16.63333333	-3.716333333
6.753333333	-16.56666667	-3.699666667
6.77	-16.35555556	-3.683
6.786666667	-16.56666667	-3.666333333
6.803333333	-16.56666667	-3.649666667
6.82	-16.63333333	-3.633
6.836666667	-16.13333333	-3.616333333
6.853333333	-17.06666667	-3.599666667
6.87	-17.13333333	-3.583
6.886666667	-16.98888889	-3.566333333
6.903333333	-16.13333333	-3.549666667
6.92	-16.63333333	-3.533
6.936666667	-16.84444444	-3.516333333
6.953333333	-16.56666667	-3.499666667
6.97	-16.92222222	-3.483
6.986666667	-16.92222222	-3.466333333
7.003333333	-16.48888889	-3.449666667
7.02	-16.77777778	-3.433
7.036666667	-16.84444444	-3.416333333
7.053333333	-16.77777778	-3.399666667
7.07	-17.27777778	-3.383
7.086666667	-16.98888889	-3.366333333
7.103333333	-17.06666667	-3.349666667
7.12	-17.13333333	-3.333
7.136666667	-17.2	-3.316333333
7.153333333	-17.13333333	-3.299666667
7.17	-17.06666667	-3.283
7.186666667	-16.84444444	-3.266333333
7.203333333	-16.92222222	-3.249666667
7.22	-16.98888889	-3.233
7.236666667	-17.34444444	-3.216333333
7.253333333	-17.2	-3.199666667
7.27	-17.06666667	-3.183
7.286666667	-16.92222222	-3.166333333
7.303333333	-16.84444444	-3.149666667
7.32	-17.63333333	-3.133
7.336666667	-16.84444444	-3.116333333
7.353333333	-16.98888889	-3.099666667
7.37	-17.63333333	-3.083
7.386666667	-17.27777778	-3.066333333
7.403333333	-17.2	-3.049666667
7.42	-17.34444444	-3.033
7.436666667	-17.48888889	-3.016333333
7.453333333	-17.13333333	-2.999666667
7.47	-16.98888889	-2.983
7.486666667	-17.27777778	-2.966333333
7.503333333	-17.7	-2.949666667
7.52	-17.2	-2.933
7.536666667	-17.84444444	-2.916333333
7.553333333	-17.48888889	-2.899666667
7.57	-17.84444444	-2.883
7.586666667	-17.48888889	-2.866333333
7.603333333	-17.77777778	-2.849666667
7.62	-17.34444444	-2.833
7.636666667	-17.55555556	-2.816333333
7.653333333	-17.7	-2.799666667
7.67	-17.48888889	-2.783
7.686666667	-17.7	-2.766333333
7.703333333	-17.13333333	-2.749666667
7.72	-17.27777778	-2.733
7.736666667	-17.77777778	-2.716333333
7.753333333	-17.77777778	-2.699666667
7.77	-18.05555556	-2.683
7.786666667	-17.55555556	-2.666333333
7.803333333	-17.91111111	-2.649666667
7.82	-17.91111111	-2.633
7.836666667	-17.84444444	-2.616333333
7.853333333	-17.91111111	-2.599666667
7.87	-17.91111111	-2.583
7.886666667	-17.55555556	-2.566333333
7.903333333	-17.7	-2.549666667
7.92	-17.84444444	-2.533
7.936666667	-17.84444444	-2.516333333
7.953333333	-17.77777778	-2.499666667
7.97	-17.77777778	-2.483
7.986666667	-18.2	-2.466333333
8.003333333	-18.13333333	-2.449666667
8.02	-17.84444444	-2.433
8.036666667	-17.77777778	-2.416333333
8.053333333	-17.84444444	-2.399666667
8.07	-18.2	-2.383
8.086666667	-18.05555556	-2.366333333
8.103333333	-17.91111111	-2.349666667
8.12	-17.63333333	-2.333
8.136666667	-18.41111111	-2.316333333
8.153333333	-17.98888889	-2.299666667
8.17	-18.2	-2.283
8.186666667	-17.98888889	-2.266333333
8.203333333	-18.26666667	-2.249666667
8.22	-18.05555556	-2.233
8.236666667	-18.41111111	-2.216333333
8.253333333	-17.91111111	-2.199666667
8.27	-18.2	-2.183
8.286666667	-18.13333333	-2.166333333
8.303333333	-18.26666667	-2.149666667
8.32	-18.62222222	-2.133
8.336666667	-18.2	-2.116333333
8.353333333	-17.98888889	-2.099666667
8.37	-18.2	-2.083
8.386666667	-18.55555556	-2.066333333
8.403333333	-18.34444444	-2.049666667
8.42	-18.26666667	-2.033
8.436666667	-18.13333333	-2.016333333
8.453333333	-18.7	-1.999666667
8.47	-18.34444444	-1.983
8.486666667	-18.41111111	-1.966333333
8.503333333	-18.41111111	-1.949666667
8.52	-18.34444444	-1.933
8.536666667	-18.55555556	-1.916333333
8.553333333	-18.2	-1.899666667
8.57	-18.76666667	-1.883
8.586666667	-18.48888889	-1.866333333
8.603333333	-18.55555556	-1.849666667
8.62	-18.55555556	-1.833
8.636666667	-18.55555556	-1.816333333
8.653333333	-18.62222222	-1.799666667
8.67	-18.55555556	-1.783
8.686666667	-18.62222222	-1.766333333
8.703333333	-18.62222222	-1.749666667
8.72	-18.97777778	-1.733
8.736666667	-18.7	-1.716333333
8.753333333	-18.62222222	-1.699666667
8.77	-18.41111111	-1.683
8.786666667	-19.05555556	-1.666333333
8.803333333	-18.76666667	-1.649666667
8.82	-18.48888889	-1.633
8.836666667	-18.84444444	-1.616333333
8.853333333	-18.48888889	-1.599666667
8.87	-18.55555556	-1.583
8.886666667	-18.97777778	-1.566333333
8.903333333	-18.7	-1.549666667
8.92	-18.97777778	-1.533
8.936666667	-18.55555556	-1.516333333
8.953333333	-18.7	-1.499666667
8.97	-18.55555556	-1.483
8.986666667	-18.97777778	-1.466333333
9.003333333	-18.62222222	-1.449666667
9.02	-18.62222222	-1.433
9.036666667	-18.7	-1.416333333
9.053333333	-18.76666667	-1.399666667
9.07	-19.05555556	-1.383
9.086666667	-19.26666667	-1.366333333
9.103333333	-18.76666667	-1.349666667
9.12	-18.7	-1.333
9.136666667	-18.7	-1.316333333
9.153333333	-19.2	-1.299666667
9.17	-18.97777778	-1.283
9.186666667	-19.41111111	-1.266333333
9.203333333	-19.55555556	-1.249666667
9.22	-19.47777778	-1.233
9.236666667	-19.47777778	-1.216333333
9.253333333	-19.2	-1.199666667
9.27	-19.05555556	-1.183
9.286666667	-18.97777778	-1.166333333
9.303333333	-19.12222222	-1.149666667
9.32	-19.26666667	-1.133
9.336666667	-19.55555556	-1.116333333
9.353333333	-19.26666667	-1.099666667
9.37	-19.47777778	-1.083
9.386666667	-19.2	-1.066333333
9.403333333	-19.68888889	-1.049666667
9.42	-19.68888889	-1.033
9.436666667	-19.47777778	-1.016333333
9.453333333	-18.97777778	-0.999666667
9.47	-19.33333333	-0.983
9.486666667	-19.26666667	-0.966333333
9.503333333	-19.05555556	-0.949666667
9.52	-19.26666667	-0.933
9.536666667	-19.83333333	-0.916333333
9.553333333	-19.33333333	-0.899666667
9.57	-19.62222222	-0.883
9.586666667	-19.2	-0.866333333
9.603333333	-19.62222222	-0.849666667
9.62	-19.33333333	-0.833
9.636666667	-19.55555556	-0.816333333
9.653333333	-19.47777778	-0.799666667
9.67	-19.47777778	-0.783
9.686666667	-19.12222222	-0.766333333
9.703333333	-19.62222222	-0.749666667
9.72	-19.47777778	-0.733
9.736666667	-19.12222222	-0.716333333
9.753333333	-19.26666667	-0.699666667
9.77	-19.55555556	-0.683
9.786666667	-19.47777778	-0.666333333
9.803333333	-19.33333333	-0.649666667
9.82	-19.41111111	-0.633
9.836666667	-19.47777778	-0.616333333
9.853333333	-19.76666667	-0.599666667
9.87	-19.55555556	-0.583
9.886666667	-19.55555556	-0.566333333
9.903333333	-19.83333333	-0.549666667
9.92	-20.33333333	-0.533
9.936666667	-19.83333333	-0.516333333
9.953333333	-19.68888889	-0.499666667
9.97	-19.47777778	-0.483
9.986666667	-19.91111111	-0.466333333
10.00333333	-19.76666667	-0.449666667
10.02	-19.62222222	-0.433
10.03666667	-19.91111111	-0.416333333
10.05333333	-19.47777778	-0.399666667
10.07	-19.97777778	-0.383
10.08666667	-19.76666667	-0.366333333
10.10333333	-19.76666667	-0.349666667
10.12	-20.33333333	-0.333
10.13666667	-20.33333333	-0.316333333
10.15333333	-19.97777778	-0.299666667
10.17	-19.97777778	-0.283
10.18666667	-20.04444444	-0.266333333
10.20333333	-19.97777778	-0.249666667
10.22	-20.26666667	-0.233
10.23666667	-20.12222222	-0.216333333
10.25333333	-20.26666667	-0.199666667
10.27	-19.97777778	-0.183
10.28666667	-19.91111111	-0.166333333
10.30333333	-19.76666667	-0.149666667
10.32	-20.4	-0.133
10.33666667	-20.18888889	-0.116333333
10.35333333	-20.18888889	-0.099666667
10.37	-20.54444444	-0.083
10.38666667	-20.04444444	-0.066333333
10.40333333	-20.33333333	-0.049666667
10.42	-20.18888889	-0.033
10.43666667	-20.18888889	-0.016333333
10.45333333	-22.32222222	0.000333333
10.47	-29.78888889	0.017
10.48666667	-43.23333333	0.033666667
10.50333333	-55.95555556	0.050333333
10.52	-67.91111111	0.067
10.53666667	-80.48888889	0.083666667
10.55333333	-90.08888889	0.100333333
10.57	-96.77777778	0.117
10.58666667	-102.0444444	0.133666667
10.60333333	-106.5222222	0.150333333
10.62	-110.5	0.167
10.63666667	-114.1333333	0.183666667
10.65333333	-117.4666667	0.200333333
10.67	-120.6	0.217
